id,Tatsächliche_Klassifikation,Modell_Klassifikation,Modell_Begründung,Judge_Modell_Gesamtscore,Judge_Modell_Scoreschema
3341,0,Unwirksam,"1. Überraschende Klauseln: Die Klausel enthält für Verbraucher die Möglichkeit einer konkludenten Annahme und für Unternehmer eine Zustimmungsfiktion bei Schweigen. Die Zustimmungsfiktion bei Schweigen ist im B2C-Bereich unüblich und kann für Verbraucher überraschend wirken, insbesondere in Verbindung mit dem Verzicht auf Zugang der Annahmeerklärung (§ 151 BGB).  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Die Klausel benachteiligt Verbraucher unangemessen, da sie von der gesetzlichen Regel abweicht, wonach Schweigen im Rechtsverkehr grundsätzlich keine Annahme darstellt, und zudem durch die Kombination mit § 151 BGB die Transparenz mindert.  
   b) (§ 307 Abs. 2 BGB): Abweichung vom wesentlichen gesetzlichen Grundgedanken der Annahmeerklärung (§§ 147 ff. BGB), wonach eine ausdrückliche oder konkludente Annahme erforderlich ist und Schweigen keine Zustimmung bedeutet.  
   c) (§ 308 BGB): Verstoß gegen § 308 Nr. 5 BGB (Fiktion einer Erklärung bei Unterlassen einer Handlung), da keine angemessene Frist und kein ausdrücklicher Hinweis auf die Bedeutung des Schweigens für Verbraucher vorgesehen ist.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1954,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Einschaltung eines Zahlungsdienstleisters bzw. einer zentralen Abwicklungsstelle im Handel üblich ist und der Verbraucher hierüber vor Vertragsschluss informiert wird. Die Formulierung ist klar und nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich den Zahlungsweg beschreibt und keine Rechte des Verbrauchers einschränkt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3545,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da ein Verweis auf gesonderte Datenschutzbestimmungen im B2C-Bereich üblich ist und der Verbraucher mit einer solchen Regelung rechnen muss.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da lediglich auf eine gesonderte Datenschutzerklärung hingewiesen wird.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
1909,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Vereinbarung von Versandkosten im Onlinehandel üblich ist und die Staffelung klar und transparent dargestellt wird.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Versandkosten vor Vertragsschluss klar angegeben werden und der Verbraucher die Kosten einkalkulieren kann.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3512,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Abtretung der Kaufpreisforderung an einen Zahlungsdienstleister bei Nutzung bestimmter Zahlungsarten branchenüblich ist und klar benannt wird. Die Formulierung ist transparent und eindeutig, sodass der Verbraucher die Rechtsfolgen (Zahlung an PayPal) erkennen kann.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Abtretung gesetzlich zulässig ist (§ 398 BGB) und die Pflichten des Verbrauchers nicht über das gesetzliche Maß hinaus erweitert werden.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da die Leistungspflicht lediglich auf den neuen Gläubiger übergeht.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
469,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Regelung dem gesetzlichen Leitbild des § 357 Abs. 7 BGB entspricht und in Widerrufsbelehrungen üblich ist. Die Formulierung ist klar und verständlich.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Klausel lediglich die gesetzliche Rechtsfolge wiedergibt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung vom gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
381,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Regelungen zur Pre-Notification bei SEPA-Lastschriftverfahren üblich sind und die Verkürzung klar angegeben ist. Die Formulierung ist eindeutig und transparent.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die SEPA-Regeln eine Mindestfrist nicht zwingend gesetzlich vorschreiben und vier Tage dem Verbraucher noch ausreichend Zeit zur Disposition lassen.  
   b) (§ 307 Abs. 2 BGB): Keine Abweichung von wesentlichen gesetzlichen Grundgedanken, da keine zwingende gesetzliche Frist verkürzt wird.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",13,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 4, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
2849,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Regelung lediglich den gesetzlichen Standard wiedergibt und für den Verbraucher erwartbar ist.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da keine Abweichung vom Gesetz erfolgt.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da kein Abweichen von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3051,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da Haftungsbeschränkungen in AGB üblich sind und die Formulierung klar sowie transparent ist.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da die Haftung nur für leicht fahrlässige Pflichtverletzungen ausgeschlossen wird und wesentliche Vertragspflichten (Kardinalpflichten) sowie Schäden an Leben, Körper, Gesundheit und nach dem ProdHaftG ausgenommen sind.  
   b) (§ 307 Abs. 2 BGB): Kein Verstoß, da die Klausel dem gesetzlichen Leitbild des § 276 BGB entspricht und die wesentlichen Rechte des Verbrauchers gewahrt bleiben.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Kein Verstoß, da § 309 Nr. 7 BGB beachtet wird und keine unzulässigen Haftungsausschlüsse für Vorsatz, grobe Fahrlässigkeit oder Körperschäden enthalten sind.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
3532,0,Wirksam,"1. Überraschende Klauseln: Keine überraschende Klausel, da die Bestimmung des Geltungsbereichs und der Vertragssprache in AGB üblich ist und klar formuliert wird. Die Definition des Verbraucherbegriffs entspricht der gesetzlichen Regelung und ist nicht mehrdeutig.  
2. Inhaltskontrolle:  
   a) (§ 307 Abs. 1 BGB): Keine unangemessene Benachteiligung, da lediglich der Anwendungsbereich und die Vertragssprache festgelegt werden.  
   b) (§ 307 Abs. 2 BGB): Nicht einschlägig, da keine Abweichung von wesentlichen gesetzlichen Grundgedanken vorliegt.  
   c) (§ 308 BGB): Nicht einschlägig.  
   d) (§ 309 BGB): Nicht einschlägig.",14,"{""Instruktions_und_Formatkonformitaet"": 1, ""Aufgaben_und_Klauselbezug"": 1, ""Ueberraschung_305c"": 3, ""Inhaltskontrolle_307bis309"": 5, ""Kohärenz_Klassifikation_Begruendung"": 2, ""Klarheit_und_Stringenz"": 2}"
